Race,Gender,Country,EducationType,MajorUndergraduate,DeveloperType,CompetePeers,CompanySize,CompanyType,JobSatisfaction
White or of European descent,Female,United Kingdom,Online course; Self-taught,Information technology  networking  or system administration,Web developer,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Germany,Online course; Bootcamp; On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Web developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Female,United States,Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Graphics programming,Somewhat agree,100 to 499 employees,I don't know,7
White or of European descent,Male,Canada,Online course; Self-taught; Open source contributions,Computer programming or Web development,Web developer; Quality assurance engineer,Strongly disagree,20 to 99 employees,Pre-series A startup,8
White or of European descent,Female,United States,On-the-job training; Self-taught,A natural science,Web developer,Somewhat agree,Fewer than 10 employees,Venture-funded startup,10
White or of European descent,Male,United States,Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Database administrator; Other,Disagree,1 000 to 4 999 employees,Government agency or public school/university,8
Middle Eastern,Male,Romania,Online course,A non-computer-focused engineering discipline,Developer with a statistics or mathematics background,Somewhat agree,10 000 or more employees,Publicly-traded corporation,5
White or of European descent,Female,United States,Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Embedded applications/devices developer; Desktop applications developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,5
White or of European descent,Male,Canada,Part-time/evening course; Industry certification; On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer; Desktop applications developer; Database administrator; DevOps specialist,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Female,United States,Self-taught,Computer science or software engineering,Database administrator; Systems administrator; DevOps specialist,Strongly disagree,5 000 to 9 999 employees,Publicly-traded corporation,8
White or of European descent,Male,Romania,Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Machine learning specialist,Disagree,10 to 19 employees,Sole proprietorship or partnership  not in startup mode,9
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught; Hackathon,A humanities discipline,Mobile developer; Desktop applications developer,Disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,2
White or of European descent,Male,United States,Bootcamp; On-the-job training; Self-taught,Computer science or software engineering,Embedded applications/devices developer,Disagree,10 000 or more employees,Publicly-traded corporation,9
White or of European descent,Male,United States,Online course; Bootcamp; Self-taught; Coding competition,A business discipline,Web developer; Data scientist; Database administrator,Disagree,100 to 499 employees,I don't know,2
White or of European descent,Male,Netherlands,Online course; On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer; Desktop applications developer,Somewhat agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Canada,On-the-job training,Computer science or software engineering,Web developer,Somewhat agree,Fewer than 10 employees,I prefer not to answer,8
White or of European descent,Male,United States,Online course; On-the-job training; Self-taught,Computer engineering or electrical/electronics engineering,Web developer; Desktop applications developer; Systems administrator,Disagree,10 000 or more employees,Something else,6
White or of European descent,Male,United Kingdom,Industry certification; On-the-job training; Coding competition,Computer science or software engineering,Web developer,Agree,100 to 499 employees,Publicly-traded corporation,8
White or of European descent,Male,Greece,Self-taught,Computer science or software engineering,Web developer; Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator; Quality assurance engineer,Agree,20 to 99 employees,I don't know,10
White or of European descent,Male,United States,Self-taught; Hackathon; Open source contributions,I never declared a major,Web developer,Disagree,20 to 99 employees,Publicly-traded corporation,7
White or of European descent,Female,United States,Online course; Part-time/evening course; On-the-job training; Self-taught,Fine arts or performing arts,Web developer,Disagree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,9
I prefer not to say,Male,Austria,Self-taught,Computer science or software engineering,Web developer,Disagree,Fewer than 10 employees,Privately-held limited company  not in startup mode,8
